Inventory Valuation Report
Generated on: 2025-05-26 21:01:57

Inventory Details
Product,Category,Stock,Cost Price,Selling Price,Inventory Value
"Paracetamol","easy",1234,12345.00,,15233730.00
"Paracetamol","easy",1234,12345.00,,15233730.00
"Paracetamol","easy",1234,12345.00,,15233730.00
"Paracetamol","easy",1234,12345.00,,15233730.00
"Paracetamol","easy",1234,12345.00,,15233730.00
"Paracetamol","easy",1234,12345.00,,15233730.00
"Paracetamol","easy",1233,12345.00,,15221385.00
"Paracetamol","Skincare",1233,12345.00,,15221385.00
"Paracetamol","Come on",1232,12345.00,,15209040.00
"Codeine ","Another one",6543,30.00,,196290.00
"Codeine ","Another one",6543,30.00,,196290.00
"Codeine ","Another one",6543,30.00,,196290.00
"Codeine ","Another one",6542,30.00,,196260.00
"Codeine ","Another one",6540,30.00,,196200.00
"Amatem","Come on",650,234.00,,152100.00
"Amatem","Come on",650,234.00,,152100.00
"Amatem","Come on",650,234.00,,152100.00
"Amatem","Come on",650,234.00,,152100.00
"Amatem","Come on",650,234.00,,152100.00
"Amatem","Come on",650,234.00,,152100.00
"Amatem","Come on",650,234.00,,152100.00
"Amatem","Come on",650,234.00,,152100.00
"Amatem","Come on",650,234.00,,152100.00
"Amatem","Come on",650,234.00,,152100.00
"Amatem","Come on",650,234.00,,152100.00
"Amatem","Come on",650,234.00,,152100.00
"Amatem","Come on",649,234.00,,151866.00
"Amatem","Come on",636,234.00,,148824.00
"Damatol","Skincare",450,200.00,,90000.00
"Panadol","Skincare",50,500.00,,25000.00
"Panadol","Skincare",50,500.00,,25000.00
"Panadol","Come on",5,100.00,,500.00
"Panadol","easy",5,100.00,,500.00
"Panadol","Come on",5,100.00,,500.00
"Panadol","Come on",5,100.00,,500.00
"Panadol","Skincare",5,100.00,,500.00
"Panadol","Come on",5,100.00,,500.00
"Panadol","Come on",5,100.00,,500.00
"Panadol","Come on",5,100.00,,500.00
"Panadol","Come on",5,100.00,,500.00
"Panadol","Come on",5,100.00,,500.00
"Panadol","Come on",5,100.00,,500.00
"Panadol","Come on",5,100.00,,500.00
"Panadol","Come on",5,100.00,,500.00
"Panadol","Come on",5,100.00,,500.00
"Panadol","Come on",5,100.00,,500.00
"Panadol","Come on",5,100.00,,500.00
"Ibruprofen","Another one",5,100.00,,500.00
"Panadol","Come on",5,100.00,,500.00
"Panadol","Come on",5,100.00,,500.00
